model,mIoU_mean,mIoU_std,F1_mean,FSR_mean,FBR_mean,H100_FPS,Ryzen_eager_FPS,Ryzen_compiled_FPS,parameters
FPN/EfficientNet-B0,0.9375869220436484,0.0006289000052456669,0.9531418214705782,0.017967503082076737,0.04686381145499411,131.3980195442369,5.9212489798204215,11.69586759099956,5759614
U-Net/EfficientNet-B0,0.9371867184495858,0.0005058737706237555,0.9528822386814633,0.01918009256278383,0.04448326910318654,101.24053289301357,6.955533182760107,9.664434673455546,6251614
FPN/MobileNetV2,0.9332057427205687,0.000924383837030339,0.949718505111811,0.01932791068853195,0.05017312700029429,147.36369525047468,7.234255617098604,14.261041978994431,4215554
SegFormer-B0,0.9285554387977168,0.0012951584860674593,0.9460975302497399,0.02136263565778845,0.052285384879786845,141.2268377628202,4.377162864328107,8.230114708449472,3714658
U-Net/MobileNetV2,0.9283423398155565,0.00013914990180054158,0.9460314639974045,0.023269542256111837,0.04794681651380289,131.85791282687197,7.100056308619161,10.148451472649054,6629090
ROD ViT-S,0.9210803834299277,0.0010266231319750088,0.9401441728332472,0.023015702663652066,0.0597171804763596,21.793652701039072,,,29106050
BiSeNetV2,0.888496698742947,0.002554812486272644,0.9139596440636677,0.03628927570856893,0.07881988580239868,167.7998051817707,11.484249419852969,16.3423967965297,3341202
PIDNet-S,0.8831567226989808,0.0016374940881153848,0.9092822071872251,0.03527521432179476,0.08966180937481127,270.3845312905148,21.161414158897035,27.044994350519474,7623522
DDRNet-23-Slim,0.8743060794741092,0.004240705558114773,0.9018719486067164,0.03844515821285861,0.09632656521057646,245.1724379270031,27.74174943306388,36.49962023667147,5694882
